1, ,Adverb,|||
2,abundantly,Adverb,|||
3,accidentally,Adverb,|||
4,actually,Adverb,|||
5,again,Adverb,|||
6,a little,Adverb,|||
7,almost,Adverb,|||
8,alone,Adverb,|||
9,a long time,Adverb,|||
10,a lot,Adverb,|||
11,already,Adverb,|||
12,also,Adverb,|||
13,always,Adverb,|||
14,angrily,Adverb,|||
15,backward,Adverb,|||
16,badly,Adverb,|worse|worst|
17,better,Adverb,|||
18,bitterly,Adverb,|||
19,boldly,Adverb,|||
20,bravely,Adverb,|||
21,brightly,Adverb,|brightly  more|brightly  most|
22,carefully,Adverb,|carefully  more|carefully  most|
23,carelessly,Adverb,|||
24,clearly,Adverb,|||
25,completely,Adverb,|completely  more|completely  most|
26,confidently,Adverb,|||
27,continuously,Adverb,|||
28,correctly,Adverb,|correctly  more|correctly  most|
29,cruelly,Adverb,|cruelly  more|cruelly  most|
30,dearly,Adverb,|||
31,deeply,Adverb,|||
32,differently,Adverb,|||
33,diligently,Adverb,|||
34,eagerly,Adverb,|||
35,earlier,Adverb,|||
36,early,Adverb,|earlier|earliest|
37,earnestly,Adverb,|earnestly  more|earnestly  most|
38,easily,Adverb,|easily  more|easily  most|
39,emphatically,Adverb,|||
40,enough,Adverb,|||
41,eternally,Adverb,|||
42,even,Adverb,|||
43,eventually,Adverb,|||
44,exactly,Adverb,|||
45,fairly,Adverb,|fairly  more|fairly  most|
46,faithfully,Adverb,|||
47,far,Adverb,|||
48,fiercely,Adverb,|fiercely  more|fiercely  most|
49,finally,Adverb,|||
50,firmly,Adverb,|||
51,first,Adverb,|||
52,foolishly,Adverb,|||
53,forever,Adverb,|||
54,freely,Adverb,|||
55,generously,Adverb,|||
56,gently,Adverb,|gently  more|gently  most|
57,gladly,Adverb,|||
58,gloriously,Adverb,|||
59,graciously,Adverb,|||
60,gratefully,Adverb,|||
61,greatly,Adverb,|greater|greatest|
62,habitually,Adverb,|||
63,happily,Adverb,|||
64,hard,Adverb,|harder|hardest|
65,harshly,Adverb,|||
66,highly,Adverb,|||
67,honestly,Adverb,|||
68,how,Adverb,|||
69,how long,Adverb,|||
70,immediately,Adverb,|||
71,immorally,Adverb,|||
72,intensely,Adverb,|||
73,intently,Adverb,|||
74,joyfully,Adverb,|||
75,justly,Adverb,|||
76,kindly,Adverb,|kindly  more|kindly  most|
77,last,Adverb,|||
78,later,Adverb,|laterer|laterest|
79,less,Adverb,|||
80,long,Adverb,|longer|longest|
81,loudly,Adverb,|loudly  more|loudly  most|
82,more,Adverb,|||
83,much,Adverb,|||
84,never,Adverb,|||
85,no longer,Adverb,|||
86,now,Adverb,|||
87,often,Adverb,|often  more|often  most|
88,only,Adverb,|||
89,partly,Adverb,|||
90,passionately,Adverb,|||
91,patiently,Adverb,|||
92,peacefully,Adverb,|peacefully  more|peacefully  most|
93,perfectly,Adverb,|||
94,perhaps,Adverb,|||
95,persuasively,Adverb,|persuasively  more|persuasively  most|
96,powerfully,Adverb,|powerfully  more|powerfully  most|
97,previously,Adverb,|||
98,privately,Adverb,|||
99,proudly,Adverb,|||
100,publicly,Adverb,|||
101,quickly,Adverb,|quickly  more|quickly  most|
102,quietly,Adverb,|quietly  more|quietly  most|
103,really,Adverb,|||
104,recently,Adverb,|recently  more|recently  most|
105,regularly,Adverb,|regularly  more|regularly  most|
106,religiously,Adverb,|||
107,repeatedly,Adverb,|||
108,respectfully,Adverb,|respectfully  more|respectfully  most|
109,righteously,Adverb,|righteously  more|righteously  most|
110,safely,Adverb,|safely  more|safely  most|
111,secretly,Adverb,|||
112,securely,Adverb,|securely  more|securely  most|
113,sensibly,Adverb,|||
114,severely,Adverb,|severely  more|severely  most|
115,similarly,Adverb,|||
116,sincerely,Adverb,|sincerely  more|sincerely  most|
117,skillfully,Adverb,|skillfully  more|skillfully  most|
118,slowly,Adverb,|slowly  more|slowly  most|
119,sometimes,Adverb,|||
120,soon,Adverb,|||
121,sternly,Adverb,|||
122,still,Adverb,|||
123,still,Adverb,|||
124,straight,Adverb,|straighter|straightest|
125,stupidly,Adverb,|||
126,successfully,Adverb,|successfully  more|successfully  most|
127,suddenly,Adverb,|||
128,temporarily,Adverb,|||
129,the most,Adverb,|||
130,thoroughly,Adverb,|thoroughly  more|thoroughly  most|
131,tightly,Adverb,|||
132,today,Adverb,|||
133,tomorrow,Adverb,|||
134,tonight,Adverb,|||
135,truly,Adverb,|||
136,urgently,Adverb,|urgently  more|urgently  most|
137,usually,Adverb,|||
138,viciously,Adverb,|||
139,violently,Adverb,|violently  more|violently  most|
140,well,Adverb,|better|best|
141,when,Adverb,|||
142,where,Adverb,|||
143,wholeheartedly,Adverb,|||
144,why,Adverb,|||
145,wickedly,Adverb,|||
146,willingly,Adverb,|||
147,wisely,Adverb,|wisely  more|wisely  most|
148,wrongly,Adverb,|||
149,yesterday,Adverb,|||
150,yet,Adverb,|||
